Time ,logCFU
0,3.601
1,4.217
2,5.142
3,5.917
4,6.23
5,6.418
6,6.388
7,6.398
8,6.408
9,6.348
10,6.143
11,6.153
12,5.908
13,5.744
14,5.594
15,5.735
16,5.568
17,5.371
18,5.542
19,5.338
20,5.447
21,5.239
