Time,logCFU
0,5.904
1,5.844
2,6.051
3,6.035
4,6.009
5,5.837
6,6.088
7,6.287
8,6.503
9,6.746
10,6.374
11,6.677
12,6.514
13,6.575
14,7.197
15,7.172
16,7.354
17,7.484
18,7.406
19,7.303
21,7.209
