Time ,logCFU
0,3.568
1,4.1
2,4.876
3,5.118
4,5.288
5,5.647
6,6.096
7,6.039
8,6.289
9,6.338
10,6.398
11,6.539
12,6.673
13,6.874
14,6.673
15,7.026
16,6.928
17,7.104
18,7.182
19,7.261
20,7.468
21,7.104
