Time ,logCFU
0,3.305
1,3.173
2,3.223
3,4.364
4,5.49
5,5.954
6,6.115
7,6.378
8,6.438
9,6.57
10,6.56
11,6.611
12,6.591
13,6.705
14,6.478
15,6.715
16,6.684
17,6.601
18,6.591
19,6.591
20,6.694
21,6.591
