Time ,logCFU
0,5.748
1,5.628
2,5.827
3,5.732
4,5.733
5,5.361
6,5.483
7,5.76
8,6.581
9,6.495
10,7.412
11,7.688
12,7.922
13,8.294
14,8.64
15,8.969
16,8.961
17,9.54
18,8.789
19,9.256
20,9.3
21,9.412
