Time ,logCFU
0,5.999
1,6.034
2,6.043
3,6.095
4,5.983
5,6.347
6,6.07
7,6.27
8,6.702
9,7.636
10,8.103
11,8.285
12,8.423
13,8.484
14,8.537
15,8.641
16,8.633
17,8.728
18,8.581
19,8.737
20,8.695
21,8.712
