Time,logCFU
0,5.221
1,4.807
2,4.09
3,4.004
4,4.013
5,3.979
6,3.944
7,5.163
8,5.388
9,6.08
10,6.686
11,6.798
12,6.522
13,7.136
14,7.188
15,7.137
16,7.241
17,7.285
18,7.285
19,7.182
20,7.692
21,7.494
